priority,path,cluster,search_intent,primary_keyword,supporting_keywords,opportunity_hypothesis,conversion_role,avoid_overlap
P0,/services/outbound-lead-generation/,service,hire a provider,outbound lead generation agency,"outbound lead generation services; B2B outbound agency",Medium volume / high competition,Primary money page,Own broad managed outbound service
P0,/services/b2b-appointment-setting/,service,hire a provider,B2B appointment setting services,"appointment setting agency; B2B appointment setting company",Medium volume / high competition,Primary money page,Own appointment setting service and qualification
P0,/services/linkedin-lead-generation/,service,hire a channel specialist,LinkedIn lead generation agency,"LinkedIn lead generation service; LinkedIn outreach agency",Medium volume / high competition,Primary money page,Own managed LinkedIn execution
P1,/services/outsourced-sdr/,service,outsource sales development,outsourced SDR services,"SDR as a service; outsourced sales development",Medium volume / medium-high competition,Primary money page,Own ongoing outsourced SDR service
P0,/pricing/,commercial,evaluate Beespoke,Beespoke pricing,"outbound lead generation pricing; appointment setting pricing",Brand conversion,Bottom funnel,Own actual packages only
P0,/guides/outbound-lead-generation-cost/,cost,estimate market cost,outbound lead generation cost,"lead generation agency cost; outbound agency pricing",Medium volume / medium competition,Commercial education,Own broad outbound cost model
P0,/guides/appointment-setting-pricing/,cost,compare pricing models,appointment setting pricing,"appointment setting services cost; pay per appointment pricing",Medium volume / medium competition,Commercial education,Own appointment setting market pricing
P1,/guides/outsourced-sdr-cost/,cost,estimate outsourcing cost,outsourced SDR cost,"SDR outsourcing cost; SDR as a service pricing",Low-medium volume / medium competition,Commercial education,Own outsourced SDR cost only
P0,/guides/hire-sdr-vs-outsource/,decision,choose staffing model,hire SDR vs outsource,"in-house SDR vs outsourced SDR; outsource sales development",Low volume / high intent,Decision support,Own staffing decision framework
P0,/guides/pay-per-meeting-lead-generation/,decision,evaluate pricing model,pay per meeting lead generation,"pay per appointment lead generation; performance based lead generation",Low-medium volume / high intent,Decision support,Own incentives qualification and no-show rules
P1,/compare/outbound-agency-vs-in-house-sdr/,comparison,compare execution models,outbound agency vs in-house SDR,"lead generation agency vs in house; agency vs SDR",Low volume / high intent,Decision support,Own agency versus internal economics
P1,/compare/outbound-agency-vs-freelancer/,comparison,compare provider types,lead generation agency vs freelancer,"outbound freelancer vs agency; cold outreach freelancer",Low volume / high intent,Decision support,Own agency versus solo operator
P2,/compare/belkins-alternatives/,comparison,find vendor alternatives,Belkins alternatives,"companies like Belkins; Belkins competitors",Low-medium volume / very high intent,Competitive capture,Publish only after independent review
P0,/industries/cybersecurity-lead-generation/,industry,hire relevant specialist,cybersecurity lead generation agency,"cybersecurity appointment setting; lead generation for cybersecurity companies",Low-medium volume / medium competition,Vertical money page,Own cybersecurity-specific execution
P1,/industries/b2b-saas-lead-generation/,industry,hire relevant specialist,B2B SaaS lead generation agency,"SaaS appointment setting services; outbound lead generation for SaaS",Medium volume / high competition,Vertical money page,Own SaaS-specific execution
P1,/industries/consulting-lead-generation/,industry,hire relevant specialist,lead generation for consulting firms,"consulting lead generation agency; get consulting clients B2B",Low-medium volume / medium competition,Vertical money page,Own consulting-specific execution
P2,/industries/pr-agency-lead-generation/,industry,hire relevant specialist,lead generation for PR agencies,"PR agency appointment setting; get PR clients",Low volume / lower competition,Vertical money page,Publish after more first-party proof
P0,/case-studies/cybersecurity-linkedin-lead-generation/,proof,evaluate evidence,cybersecurity LinkedIn lead generation case study,"cybersecurity appointment setting case study; CISO outreach case study",Low volume / strong assisted conversion,Proof,Own the real cybersecurity campaign narrative
P0,/case-studies/media-partnership-outreach/,proof,evaluate evidence,media partnership outreach case study,"brand partnership outreach case study; PR outreach case study",Low volume / strong assisted conversion,Proof,Own the real media and PR campaign narrative
Trust,/about/noah-levy/,trust,verify founder,Noah Levy Beespoke,"Beespoke founder; Noah Levy outbound",Brand intent,Trust,Founder identity not a service page
Trust,/editorial-policy/,trust,verify methodology,Beespoke editorial policy,"Beespoke sources; Beespoke review process",Brand intent,Trust,Editorial process not an acquisition page
